bus_number,bus_type,source,destination,departure_time,arrival_time,ticket_price_rs,available_seats,distance_km
TNSTC-CHN-1053,Ultra Deluxe,Chennai,Coimbatore,15:00,01:00,750,17,500
TNSTC-CHN-1054,Deluxe,Chennai,Coimbatore,14:00,00:00,750,22,500
TNSTC-CHN-1055,Deluxe,Chennai,Coimbatore,23:00,09:00,750,33,500
TNSTC-CHN-1056,Ultra Deluxe,Chennai,Coimbatore,16:30,02:30,750,45,500
TNSTC-CHN-1057,Ultra Deluxe,Chennai,Coimbatore,11:00,21:00,750,19,500
TNSTC-CHN-1058,Non AC Seater,Chennai,Coimbatore,23:00,09:00,750,38,500
TNSTC-CHN-1059,Ultra Deluxe,Chennai,Coimbatore,16:30,02:30,750,30,500
TNSTC-CHN-1060,Super Fast,Chennai,Coimbatore,20:00,06:00,750,21,500
TNSTC-CHN-1061,Ultra Deluxe,Chennai,Coimbatore,14:00,00:00,750,12,500
TNSTC-CHN-1062,Non AC Seater,Chennai,Coimbatore,04:30,14:30,750,41,500
TNSTC-CHN-1063,Express,Chennai,Coimbatore,08:00,18:00,750,42,500
TNSTC-CHN-1064,Super Fast,Chennai,Coimbatore,21:30,07:30,750,43,500
TNSTC-CHN-1065,Express,Chennai,Coimbatore,02:00,12:00,750,22,500
TNSTC-CHN-1066,Deluxe,Chennai,Coimbatore,09:00,19:00,750,29,500
TNSTC-CHN-1067,Super Fast,Chennai,Coimbatore,17:00,03:00,750,13,500
TNSTC-CHN-1068,Super Fast,Chennai,Coimbatore,23:00,09:00,750,27,500
TNSTC-CHN-1069,Non AC Seater,Chennai,Coimbatore,12:30,22:30,750,14,500
TNSTC-CHN-1070,Non AC Seater,Chennai,Coimbatore,23:00,09:00,750,38,500
TNSTC-CHN-1071,AC Sleeper,Chennai,Coimbatore,01:30,11:30,750,20,500
TNSTC-CHN-1072,Ultra Deluxe,Chennai,Coimbatore,05:30,15:30,750,20,500
TNSTC-CHN-1073,AC Sleeper,Chennai,Coimbatore,15:30,01:30,750,16,500
TNSTC-CHN-1074,Super Fast,Chennai,Coimbatore,11:00,21:00,750,43,500
TNSTC-CHN-1075,Express,Chennai,Coimbatore,19:30,05:30,750,39,500
TNSTC-CHN-1076,Ultra Deluxe,Chennai,Coimbatore,12:00,22:00,750,42,500
TNSTC-CHN-1077,Non AC Seater,Chennai,Coimbatore,23:30,09:30,750,40,500
TNSTC-CHN-1078,Deluxe,Chennai,Coimbatore,18:30,04:30,750,23,500
TNSTC-CHN-1079,Super Fast,Chennai,Coimbatore,05:00,15:00,750,32,500
TNSTC-CHN-1080,Super Fast,Chennai,Coimbatore,16:30,02:30,750,15,500
TNSTC-CHN-1081,Super Fast,Chennai,Coimbatore,13:30,23:30,750,36,500
TNSTC-CHN-1082,Deluxe,Chennai,Coimbatore,11:00,21:00,750,22,500
TNSTC-CHN-1083,Ultra Deluxe,Chennai,Coimbatore,11:30,21:30,750,24,500
TNSTC-CHN-1084,Deluxe,Chennai,Coimbatore,12:30,22:30,750,33,500
TNSTC-CHN-1085,Super Fast,Chennai,Coimbatore,21:00,07:00,750,32,500
TNSTC-CHN-1086,Non AC Seater,Chennai,Coimbatore,01:00,11:00,750,42,500
TNSTC-CHN-1087,Ultra Deluxe,Chennai,Coimbatore,01:00,11:00,750,26,500
TNSTC-CHN-1088,Deluxe,Chennai,Coimbatore,10:30,20:30,750,24,500
TNSTC-CHN-1089,AC Sleeper,Chennai,Coimbatore,08:00,18:00,750,23,500
TNSTC-CHN-1090,AC Sleeper,Chennai,Coimbatore,11:30,21:30,750,11,500
TNSTC-CHN-1091,Non AC Seater,Chennai,Coimbatore,17:00,03:00,750,41,500
TNSTC-CHN-1092,Ultra Deluxe,Chennai,Coimbatore,22:00,08:00,750,22,500
TNSTC-CHN-1093,Ultra Deluxe,Chennai,Coimbatore,12:00,22:00,750,18,500
TNSTC-CHN-1094,Deluxe,Chennai,Coimbatore,06:30,16:30,750,42,500
TNSTC-CHN-1095,AC Sleeper,Chennai,Coimbatore,17:30,03:30,750,10,500
TNSTC-CHN-1096,Express,Chennai,Coimbatore,06:00,16:00,750,15,500
TNSTC-CHN-1097,Express,Chennai,Coimbatore,22:30,08:30,750,44,500
TNSTC-CHN-1098,Non AC Seater,Chennai,Coimbatore,14:00,00:00,750,43,500
TNSTC-CHN-1099,Express,Chennai,Coimbatore,05:00,15:00,750,12,500
TNSTC-CHN-1100,Express,Chennai,Coimbatore,06:30,16:30,750,16,500
TNSTC-CHN-1101,Deluxe,Chennai,Coimbatore,10:30,20:30,750,24,500
TNSTC-CHN-1102,Deluxe,Chennai,Coimbatore,13:00,23:00,750,21,500
TNSTC-CHN-1103,Deluxe,Chennai,Coimbatore,20:00,06:00,750,16,500
TNSTC-CHN-1104,Super Fast,Chennai,Coimbatore,20:30,06:30,750,34,500
TNSTC-CHN-1105,Express,Chennai,Coimbatore,08:00,18:00,750,28,500
TNSTC-CHN-1106,Super Fast,Chennai,Coimbatore,14:00,00:00,750,29,500
TNSTC-CHN-1107,Ultra Deluxe,Chennai,Coimbatore,09:00,19:00,750,10,500
TNSTC-CHN-1108,Ultra Deluxe,Chennai,Coimbatore,16:30,02:30,750,24,500
TNSTC-CHN-1109,Ultra Deluxe,Chennai,Coimbatore,17:30,03:30,750,31,500
TNSTC-CHN-1110,Express,Chennai,Coimbatore,07:00,17:00,750,20,500
TNSTC-CHN-1111,Non AC Seater,Chennai,Coimbatore,23:30,09:30,750,32,500
TNSTC-CHN-1112,Express,Chennai,Coimbatore,20:00,06:00,750,12,500
TNSTC-CHN-1113,Ultra Deluxe,Chennai,Coimbatore,02:00,12:00,750,33,500
TNSTC-CHN-1114,AC Sleeper,Chennai,Coimbatore,00:00,10:00,750,38,500
TNSTC-CHN-1115,Ultra Deluxe,Chennai,Coimbatore,21:30,07:30,750,21,500
TNSTC-CHN-1116,Ultra Deluxe,Chennai,Coimbatore,22:00,08:00,750,22,500
TNSTC-CHN-1117,AC Sleeper,Chennai,Coimbatore,03:00,13:00,750,10,500
TNSTC-CHN-1118,Deluxe,Chennai,Coimbatore,17:00,03:00,750,16,500
TNSTC-CHN-1119,Non AC Seater,Chennai,Coimbatore,01:30,11:30,750,34,500
TNSTC-CHN-1120,Express,Chennai,Coimbatore,13:30,23:30,750,30,500
TNSTC-CHN-1121,Deluxe,Chennai,Coimbatore,08:30,18:30,750,26,500
TNSTC-CHN-1122,AC Sleeper,Chennai,Coimbatore,12:00,22:00,750,12,500
TNSTC-CHN-1123,Deluxe,Chennai,Coimbatore,22:30,08:30,750,22,500
TNSTC-CHN-1124,Deluxe,Chennai,Coimbatore,14:30,00:30,750,12,500
TNSTC-CHN-1125,AC Sleeper,Chennai,Coimbatore,12:00,22:00,750,23,500
TNSTC-CHN-1126,Ultra Deluxe,Chennai,Coimbatore,07:00,17:00,750,33,500
TNSTC-CHN-1127,AC Sleeper,Chennai,Coimbatore,13:00,23:00,750,21,500
TNSTC-CHN-1128,AC Sleeper,Chennai,Coimbatore,17:00,03:00,750,20,500
TNSTC-CHN-1129,Non AC Seater,Chennai,Coimbatore,08:30,18:30,750,25,500
TNSTC-CHN-1130,AC Sleeper,Chennai,Coimbatore,03:00,13:00,750,36,500
TNSTC-CHN-1131,AC Sleeper,Chennai,Coimbatore,13:00,23:00,750,15,500
TNSTC-CHN-1132,Deluxe,Chennai,Coimbatore,06:30,16:30,750,40,500
TNSTC-CHN-1133,AC Sleeper,Chennai,Coimbatore,14:00,00:00,750,25,500
TNSTC-CHN-1134,Deluxe,Chennai,Coimbatore,01:00,11:00,750,40,500
TNSTC-CHN-1135,Super Fast,Chennai,Coimbatore,11:00,21:00,750,30,500
TNSTC-CHN-1136,Non AC Seater,Chennai,Coimbatore,13:00,23:00,750,32,500
TNSTC-CHN-1137,Super Fast,Chennai,Coimbatore,01:00,11:00,750,13,500
TNSTC-CHN-1138,Ultra Deluxe,Chennai,Coimbatore,14:30,00:30,750,40,500
TNSTC-CHN-1139,AC Sleeper,Chennai,Coimbatore,21:30,07:30,750,33,500
TNSTC-CHN-1140,AC Sleeper,Chennai,Coimbatore,16:00,02:00,750,11,500
TNSTC-CHN-1141,Non AC Seater,Chennai,Coimbatore,09:00,19:00,750,27,500
TNSTC-CHN-1142,Super Fast,Chennai,Coimbatore,20:30,06:30,750,41,500
TNSTC-CHN-1143,Deluxe,Chennai,Coimbatore,12:30,22:30,750,11,500
TNSTC-CHN-1144,AC Sleeper,Chennai,Coimbatore,19:30,05:30,750,28,500
TNSTC-CHN-1145,Express,Chennai,Coimbatore,03:30,13:30,750,25,500
TNSTC-CHN-1146,AC Sleeper,Chennai,Coimbatore,17:00,03:00,750,29,500
TNSTC-CHN-1147,Ultra Deluxe,Chennai,Coimbatore,13:00,23:00,750,19,500
TNSTC-CHN-1148,Non AC Seater,Chennai,Coimbatore,14:00,00:00,750,41,500
TNSTC-CHN-1149,AC Sleeper,Chennai,Coimbatore,09:00,19:00,750,19,500
TNSTC-CHN-1150,AC Sleeper,Chennai,Coimbatore,21:00,07:00,750,33,500
TNSTC-CHN-1151,Super Fast,Chennai,Coimbatore,01:30,11:30,750,25,500
TNSTC-CHN-1152,AC Sleeper,Chennai,Coimbatore,11:00,21:00,750,29,500
TNSTC-CHN-1153,AC Sleeper,Chennai,Coimbatore,04:00,14:00,750,20,500
TNSTC-CHN-1154,Super Fast,Chennai,Coimbatore,10:00,20:00,750,27,500
TNSTC-CHN-1155,Express,Chennai,Coimbatore,05:00,15:00,750,40,500
TNSTC-CHN-1156,Non AC Seater,Chennai,Coimbatore,10:00,20:00,750,29,500
TNSTC-CHN-1157,Super Fast,Chennai,Coimbatore,12:00,22:00,750,20,500
TNSTC-CHN-1158,AC Sleeper,Chennai,Coimbatore,05:00,15:00,750,30,500
TNSTC-CHN-1159,AC Sleeper,Chennai,Coimbatore,07:00,17:00,750,28,500
TNSTC-CHN-1160,Ultra Deluxe,Chennai,Coimbatore,21:30,07:30,750,32,500
TNSTC-CHN-1161,Express,Chennai,Coimbatore,12:30,22:30,750,40,500
TNSTC-CHN-1162,Ultra Deluxe,Chennai,Coimbatore,11:30,21:30,750,39,500
TNSTC-CHN-1163,Super Fast,Chennai,Coimbatore,14:00,00:00,750,20,500
TNSTC-CHN-1164,Deluxe,Chennai,Coimbatore,08:30,18:30,750,44,500
TNSTC-CHN-1165,Deluxe,Chennai,Coimbatore,06:30,16:30,750,29,500
TNSTC-CHN-1166,Ultra Deluxe,Chennai,Coimbatore,01:30,11:30,750,25,500
TNSTC-CHN-1167,Ultra Deluxe,Chennai,Coimbatore,17:30,03:30,750,11,500
TNSTC-CHN-1168,Non AC Seater,Chennai,Coimbatore,18:00,04:00,750,23,500
TNSTC-CHN-1169,Ultra Deluxe,Chennai,Coimbatore,23:00,09:00,750,17,500
TNSTC-CHN-1170,Deluxe,Chennai,Coimbatore,14:30,00:30,750,28,500
TNSTC-CHN-1171,Express,Chennai,Coimbatore,09:00,19:00,750,33,500
TNSTC-CHN-1172,AC Sleeper,Chennai,Coimbatore,14:30,00:30,750,23,500
TNSTC-CHN-1173,AC Sleeper,Chennai,Coimbatore,07:30,17:30,750,32,500
TNSTC-CHN-1174,AC Sleeper,Chennai,Coimbatore,12:30,22:30,750,37,500
TNSTC-CHN-1175,Express,Chennai,Coimbatore,02:00,12:00,750,30,500
TNSTC-CHN-1176,Deluxe,Chennai,Coimbatore,19:30,05:30,750,37,500
TNSTC-CHN-1177,Ultra Deluxe,Chennai,Coimbatore,11:30,21:30,750,37,500
TNSTC-CHN-1178,AC Sleeper,Chennai,Coimbatore,21:30,07:30,750,14,500
TNSTC-CHN-1179,Deluxe,Chennai,Coimbatore,14:30,00:30,750,27,500
TNSTC-CHN-1180,Deluxe,Chennai,Coimbatore,17:00,03:00,750,32,500
TNSTC-CHN-1181,Super Fast,Chennai,Coimbatore,22:30,08:30,750,15,500
TNSTC-CHN-1182,Express,Chennai,Coimbatore,12:00,22:00,750,13,500
TNSTC-CHN-1183,Non AC Seater,Chennai,Coimbatore,07:30,17:30,750,34,500
TNSTC-CHN-1184,Super Fast,Chennai,Coimbatore,18:00,04:00,750,20,500
TNSTC-CHN-1185,AC Sleeper,Chennai,Coimbatore,01:30,11:30,750,40,500
TNSTC-CHN-1186,Ultra Deluxe,Chennai,Coimbatore,18:00,04:00,750,21,500
TNSTC-CHN-1187,Express,Chennai,Coimbatore,01:00,11:00,750,41,500
TNSTC-CHN-1188,Ultra Deluxe,Chennai,Coimbatore,16:30,02:30,750,27,500
TNSTC-CHN-1189,AC Sleeper,Chennai,Coimbatore,19:30,05:30,750,30,500
TNSTC-CHN-1190,Express,Chennai,Coimbatore,15:30,01:30,750,11,500
TNSTC-CHN-1191,AC Sleeper,Chennai,Coimbatore,07:30,17:30,750,18,500
TNSTC-CHN-1192,Ultra Deluxe,Chennai,Coimbatore,10:00,20:00,750,16,500
TNSTC-CHN-1193,Non AC Seater,Chennai,Coimbatore,18:00,04:00,750,13,500
TNSTC-CHN-1194,Non AC Seater,Chennai,Coimbatore,18:30,04:30,750,20,500
TNSTC-CHN-1195,AC Sleeper,Chennai,Coimbatore,00:00,10:00,750,33,500
TNSTC-CHN-1196,AC Sleeper,Chennai,Coimbatore,07:00,17:00,750,30,500
TNSTC-CHN-1197,Express,Chennai,Coimbatore,07:30,17:30,750,11,500
TNSTC-CHN-1198,Non AC Seater,Chennai,Coimbatore,15:00,01:00,750,24,500
TNSTC-CHN-1199,Express,Chennai,Coimbatore,12:30,22:30,750,22,500
TNSTC-CHN-1200,Non AC Seater,Chennai,Coimbatore,01:00,11:00,750,41,500
TNSTC-CHN-1201,Ultra Deluxe,Chennai,Coimbatore,04:00,14:00,750,18,500
TNSTC-CHN-1202,Super Fast,Chennai,Coimbatore,09:30,19:30,750,23,500
TNSTC-CHN-1203,Super Fast,Chennai,Coimbatore,22:00,08:00,750,13,500
TNSTC-CHN-1204,Super Fast,Chennai,Coimbatore,08:30,18:30,750,38,500
TNSTC-CHN-1205,Non AC Seater,Chennai,Coimbatore,08:00,18:00,750,18,500
TNSTC-CHN-1206,AC Sleeper,Chennai,Coimbatore,21:30,07:30,750,40,500
TNSTC-CHN-1207,AC Sleeper,Chennai,Coimbatore,19:00,05:00,750,43,500
TNSTC-CHN-1208,Non AC Seater,Chennai,Coimbatore,16:00,02:00,750,40,500
TNSTC-CHN-1209,AC Sleeper,Chennai,Coimbatore,05:00,15:00,750,29,500
TNSTC-CHN-1210,AC Sleeper,Chennai,Coimbatore,00:30,10:30,750,22,500
TNSTC-CHN-1211,Ultra Deluxe,Chennai,Coimbatore,19:30,05:30,750,36,500
TNSTC-CHN-1212,Non AC Seater,Chennai,Coimbatore,05:00,15:00,750,29,500
TNSTC-CHN-1213,Express,Chennai,Coimbatore,00:30,10:30,750,30,500
TNSTC-CHN-1214,Super Fast,Chennai,Coimbatore,09:00,19:00,750,42,500
TNSTC-CHN-1215,Ultra Deluxe,Chennai,Coimbatore,01:30,11:30,750,15,500
TNSTC-CHN-1216,Super Fast,Chennai,Coimbatore,20:30,06:30,750,23,500
TNSTC-CHN-1217,Deluxe,Chennai,Coimbatore,10:30,20:30,750,20,500
TNSTC-CHN-1218,AC Sleeper,Chennai,Coimbatore,13:30,23:30,750,44,500
TNSTC-CHN-1219,Deluxe,Chennai,Coimbatore,04:30,14:30,750,27,500
TNSTC-CHN-1220,AC Sleeper,Chennai,Coimbatore,03:00,13:00,750,30,500
TNSTC-CHN-1221,Deluxe,Chennai,Coimbatore,17:30,03:30,750,20,500
TNSTC-CHN-1222,Super Fast,Chennai,Coimbatore,12:00,22:00,750,44,500
TNSTC-CHN-1223,Ultra Deluxe,Chennai,Coimbatore,16:00,02:00,750,17,500
TNSTC-CHN-1224,AC Sleeper,Chennai,Coimbatore,09:30,19:30,750,44,500
TNSTC-CHN-1225,Ultra Deluxe,Chennai,Coimbatore,16:30,02:30,750,23,500
TNSTC-CHN-1226,Deluxe,Chennai,Coimbatore,16:00,02:00,750,32,500
TNSTC-CHN-1227,Express,Chennai,Coimbatore,04:00,14:00,750,11,500
TNSTC-CHN-1228,Express,Chennai,Coimbatore,15:30,01:30,750,35,500
TNSTC-CHN-1229,AC Sleeper,Chennai,Coimbatore,01:00,11:00,750,10,500
TNSTC-CHN-1230,Express,Chennai,Coimbatore,04:30,14:30,750,23,500
TNSTC-CHN-1231,Non AC Seater,Chennai,Coimbatore,21:00,07:00,750,30,500
TNSTC-CHN-1232,Ultra Deluxe,Chennai,Coimbatore,13:00,23:00,750,38,500
TNSTC-CHN-1233,Non AC Seater,Chennai,Coimbatore,18:00,04:00,750,34,500
TNSTC-CHN-1234,Super Fast,Chennai,Coimbatore,11:00,21:00,750,43,500
TNSTC-CHN-1235,Non AC Seater,Chennai,Coimbatore,15:00,01:00,750,40,500
TNSTC-CHN-1236,AC Sleeper,Chennai,Coimbatore,16:00,02:00,750,26,500
TNSTC-CHN-1237,Super Fast,Chennai,Coimbatore,14:30,00:30,750,38,500
TNSTC-CHN-1238,Express,Chennai,Coimbatore,17:30,03:30,750,43,500
TNSTC-CHN-1239,Non AC Seater,Chennai,Coimbatore,16:00,02:00,750,18,500
TNSTC-CHN-1240,Ultra Deluxe,Chennai,Coimbatore,21:00,07:00,750,23,500
TNSTC-CHN-1241,Non AC Seater,Chennai,Coimbatore,17:30,03:30,750,31,500
TNSTC-CHN-1242,Deluxe,Chennai,Coimbatore,09:30,19:30,750,11,500
TNSTC-CHN-1243,Deluxe,Chennai,Coimbatore,10:30,20:30,750,36,500
TNSTC-CHN-1244,Ultra Deluxe,Chennai,Coimbatore,17:30,03:30,750,21,500
TNSTC-CHN-1245,Deluxe,Chennai,Coimbatore,05:30,15:30,750,20,500
TNSTC-CHN-1246,Ultra Deluxe,Chennai,Coimbatore,08:00,18:00,750,12,500
TNSTC-CHN-1247,Deluxe,Chennai,Coimbatore,17:00,03:00,750,45,500
TNSTC-CHN-1248,AC Sleeper,Chennai,Coimbatore,20:00,06:00,750,40,500
TNSTC-CHN-1249,Deluxe,Chennai,Coimbatore,03:30,13:30,750,19,500
TNSTC-CBE-1250,Ultra Deluxe,Coimbatore,Chennai,22:30,08:30,750,11,500
TNSTC-CBE-1251,Ultra Deluxe,Coimbatore,Chennai,15:00,01:00,750,44,500
TNSTC-CBE-1252,Ultra Deluxe,Coimbatore,Chennai,02:30,12:30,750,23,500
TNSTC-CBE-1253,Non AC Seater,Coimbatore,Chennai,03:00,13:00,750,10,500
TNSTC-CBE-1254,Deluxe,Coimbatore,Chennai,17:30,03:30,750,36,500
TNSTC-CBE-1255,AC Sleeper,Coimbatore,Chennai,22:00,08:00,750,35,500
TNSTC-CBE-1256,AC Sleeper,Coimbatore,Chennai,05:00,15:00,750,26,500
TNSTC-CBE-1257,Non AC Seater,Coimbatore,Chennai,05:00,15:00,750,25,500
TNSTC-CBE-1258,AC Sleeper,Coimbatore,Chennai,10:00,20:00,750,18,500
TNSTC-CBE-1259,Ultra Deluxe,Coimbatore,Chennai,23:00,09:00,750,20,500
TNSTC-CBE-1260,AC Sleeper,Coimbatore,Chennai,06:30,16:30,750,41,500
TNSTC-CBE-1261,Deluxe,Coimbatore,Chennai,23:00,09:00,750,35,500
TNSTC-CBE-1262,Non AC Seater,Coimbatore,Chennai,11:30,21:30,750,31,500
TNSTC-CBE-1263,Ultra Deluxe,Coimbatore,Chennai,11:30,21:30,750,10,500
TNSTC-CBE-1264,Super Fast,Coimbatore,Chennai,18:00,04:00,750,25,500
TNSTC-CBE-1265,Express,Coimbatore,Chennai,00:30,10:30,750,30,500
TNSTC-CBE-1266,Ultra Deluxe,Coimbatore,Chennai,12:30,22:30,750,17,500
TNSTC-CBE-1267,AC Sleeper,Coimbatore,Chennai,01:00,11:00,750,24,500
TNSTC-CBE-1268,Non AC Seater,Coimbatore,Chennai,07:00,17:00,750,10,500
TNSTC-CBE-1269,Non AC Seater,Coimbatore,Chennai,19:00,05:00,750,28,500
TNSTC-CBE-1270,Super Fast,Coimbatore,Chennai,22:30,08:30,750,31,500
TNSTC-CBE-1271,Express,Coimbatore,Chennai,02:00,12:00,750,21,500
TNSTC-CBE-1272,Non AC Seater,Coimbatore,Chennai,01:30,11:30,750,36,500
TNSTC-CBE-1273,AC Sleeper,Coimbatore,Chennai,17:30,03:30,750,26,500
TNSTC-CBE-1274,Ultra Deluxe,Coimbatore,Chennai,14:30,00:30,750,29,500
TNSTC-CBE-1275,Non AC Seater,Coimbatore,Chennai,11:30,21:30,750,44,500
TNSTC-CBE-1276,Deluxe,Coimbatore,Chennai,14:00,00:00,750,20,500
TNSTC-CBE-1277,AC Sleeper,Coimbatore,Chennai,22:00,08:00,750,20,500
TNSTC-CBE-1278,Deluxe,Coimbatore,Chennai,05:30,15:30,750,39,500
TNSTC-CBE-1279,Deluxe,Coimbatore,Chennai,14:00,00:00,750,41,500
TNSTC-CBE-1280,Super Fast,Coimbatore,Chennai,19:00,05:00,750,33,500
TNSTC-CBE-1281,AC Sleeper,Coimbatore,Chennai,13:00,23:00,750,41,500
TNSTC-CBE-1282,AC Sleeper,Coimbatore,Chennai,06:30,16:30,750,23,500
TNSTC-CBE-1283,Non AC Seater,Coimbatore,Chennai,22:00,08:00,750,29,500
TNSTC-CBE-1284,Ultra Deluxe,Coimbatore,Chennai,12:30,22:30,750,15,500
TNSTC-CBE-1285,Express,Coimbatore,Chennai,10:00,20:00,750,23,500
TNSTC-CBE-1286,Deluxe,Coimbatore,Chennai,20:00,06:00,750,32,500
TNSTC-CBE-1287,Super Fast,Coimbatore,Chennai,18:30,04:30,750,38,500
TNSTC-CBE-1288,Express,Coimbatore,Chennai,23:00,09:00,750,43,500
TNSTC-CBE-1289,Non AC Seater,Coimbatore,Chennai,11:00,21:00,750,19,500
TNSTC-CBE-1290,Express,Coimbatore,Chennai,01:30,11:30,750,38,500
TNSTC-CBE-1291,Super Fast,Coimbatore,Chennai,21:30,07:30,750,19,500
TNSTC-CBE-1292,AC Sleeper,Coimbatore,Chennai,15:00,01:00,750,35,500
TNSTC-CBE-1293,Deluxe,Coimbatore,Chennai,19:30,05:30,750,29,500
TNSTC-CBE-1294,Express,Coimbatore,Chennai,05:00,15:00,750,27,500
TNSTC-CBE-1295,Ultra Deluxe,Coimbatore,Chennai,06:30,16:30,750,27,500
TNSTC-CBE-1296,Non AC Seater,Coimbatore,Chennai,15:00,01:00,750,35,500
TNSTC-CBE-1297,Ultra Deluxe,Coimbatore,Chennai,23:30,09:30,750,27,500
TNSTC-CBE-1298,AC Sleeper,Coimbatore,Chennai,23:30,09:30,750,36,500
TNSTC-CBE-1299,Super Fast,Coimbatore,Chennai,16:30,02:30,750,22,500
TNSTC-CBE-1300,Non AC Seater,Coimbatore,Chennai,17:30,03:30,750,33,500
TNSTC-CBE-1301,Express,Coimbatore,Chennai,18:30,04:30,750,20,500
