bus_number,bus_type,source,destination,departure_time,arrival_time,ticket_price_rs,available_seats
TNSTC 6164,AC Seater,Ambur,Chengalpattu,12:39 AM,03:29 AM,250,3
TNSTC 6614,Sleeper,Erode,Tiruvannamalai,01:45 PM,06:31 PM,390,34
TNSTC 3333,Express,Mayiladuthurai,Tiruvarur,04:41 AM,07:22 AM,530,1
TNSTC 8194,AC Sleeper,Coimbatore,Tiruvallur,07:56 AM,01:29 PM,450,17
TNSTC 4455,AC Seater,Vellore,Kallakurichi,02:49 AM,09:49 AM,180,17
TNSTC 4891,Sleeper,Tirupathur,Ariyalur,08:06 AM,03:38 PM,520,38
TNSTC 9713,Express,Krishnagiri,Karur,06:12 PM,11:47 PM,260,28
TNSTC 7581,AC Sleeper,Kallakurichi,Nagapattinam,11:51 AM,08:12 PM,400,39
TNSTC 1835,Express,Thanjavur,Tirupathur,02:41 PM,06:28 PM,480,23
TNSTC 8140,Sleeper,Ariyalur,Tiruvannamalai,10:58 AM,07:01 PM,180,35
TNSTC 8826,Sleeper,Namakkal,Kanchipuram,09:52 PM,05:43 AM,500,15
TNSTC 1748,Express,Chennai,Ariyalur,11:17 AM,08:07 PM,510,13
TNSTC 2355,AC Seater,Karur,Pudukkottai,07:55 PM,02:06 AM,490,17
TNSTC 4948,Government,Tenkasi,Ramanathapuram,11:30 AM,08:07 PM,460,4
TNSTC 4831,AC Sleeper,Pudukkottai,Krishnagiri,02:06 PM,06:10 PM,550,19
TNSTC 4504,Deluxe,Pudukkottai,Ariyalur,11:16 AM,08:49 PM,300,13
TNSTC 1069,AC Sleeper,Kallakurichi,Salem,10:21 PM,05:11 AM,640,32
TNSTC 9161,Express,Perambalur,Karur,07:03 AM,02:04 PM,250,21
TNSTC 1560,AC Sleeper,Tirunelveli,Sivaganga,04:32 PM,12:02 AM,270,4
TNSTC 1004,Deluxe,Tiruvallur,Ramanathapuram,08:30 PM,05:10 AM,540,1
TNSTC 4992,AC Sleeper,Tiruvannamalai,Villupuram,12:04 PM,03:36 PM,450,20
TNSTC 5855,AC Seater,Perambalur,Mayiladuthurai,01:12 PM,05:19 PM,250,1
TNSTC 4705,Express,Villupuram,Salem,12:43 AM,03:51 AM,250,33
TNSTC 5559,Ultra Deluxe,Krishnagiri,Thoothukudi,05:30 PM,10:01 PM,160,26
TNSTC 5771,Ultra Deluxe,Tiruvallur,Tiruvarur,04:14 AM,11:49 AM,560,23
TNSTC 1636,Express,Tirupur,Coimbatore,03:53 AM,06:47 AM,490,32
TNSTC 1546,Ultra Deluxe,Virudhunagar,Tirupur,05:13 AM,09:38 AM,330,1
TNSTC 8662,AC Sleeper,Tenkasi,Perambalur,08:53 PM,06:39 AM,220,14
TNSTC 7987,Government,Erode,Tiruvallur,02:49 AM,09:56 AM,580,37
TNSTC 4215,Deluxe,Tirupur,Dharmapuri,04:30 PM,10:48 PM,560,27
TNSTC 1727,Government,Perambalur,Salem,03:17 PM,06:15 PM,520,6
TNSTC 5206,Ultra Deluxe,Ariyalur,Kanchipuram,10:24 AM,04:54 PM,150,12
TNSTC 1102,Ultra Deluxe,Vellore,Virudhunagar,07:17 PM,02:48 AM,380,37
TNSTC 5973,AC Sleeper,Kanyakumari,Salem,09:23 PM,11:49 PM,540,10
TNSTC 2770,AC Seater,Tirupathur,Tiruvannamalai,02:10 AM,09:10 AM,350,34
TNSTC 3318,AC Seater,Tenkasi,Cuddalore,06:16 PM,12:44 AM,350,38
TNSTC 4996,Deluxe,Tirupur,Perambalur,10:32 AM,07:58 PM,470,1
TNSTC 4646,Express,Tenkasi,Tiruvallur,12:33 PM,04:07 PM,420,29
TNSTC 1687,Government,Kanyakumari,Krishnagiri,11:22 PM,02:50 AM,360,18
TNSTC 8391,AC Seater,Ariyalur,Mayiladuthurai,07:02 PM,10:09 PM,510,8
TNSTC 8995,Deluxe,Tiruvallur,Kallakurichi,05:00 PM,08:16 PM,230,28
TNSTC 6611,AC Sleeper,Mayiladuthurai,Tirupur,10:25 PM,07:49 AM,580,29
TNSTC 5032,Express,Kanchipuram,Ambur,01:24 PM,11:07 PM,220,11
TNSTC 1112,Sleeper,Madurai,Pudukkottai,10:33 PM,08:24 AM,440,36
TNSTC 7832,Ultra Deluxe,Krishnagiri,Pudukkottai,03:56 AM,07:00 AM,480,17
TNSTC 9281,Ultra Deluxe,Kanchipuram,Tenkasi,05:36 AM,12:27 PM,310,20
TNSTC 3013,Express,Kanchipuram,Trichy,11:18 PM,04:54 AM,320,18
TNSTC 1284,Government,Nagapattinam,Karur,05:55 PM,08:26 PM,240,20
TNSTC 7491,AC Sleeper,Cuddalore,Tiruvallur,12:15 PM,07:25 PM,300,10
TNSTC 3668,Government,Kallakurichi,Cuddalore,04:28 PM,08:09 PM,510,1
TNSTC 7147,AC Seater,Tiruvallur,Ambur,12:07 PM,03:04 PM,560,18
TNSTC 2735,Government,Karur,Sivaganga,07:56 AM,10:58 AM,560,28
TNSTC 5962,Deluxe,Ranipet,Coimbatore,07:39 AM,11:14 AM,450,34
TNSTC 2079,AC Sleeper,Dindigul,Salem,05:17 AM,09:46 AM,590,33
TNSTC 3023,Government,Virudhunagar,Ramanathapuram,07:23 AM,09:57 AM,640,25
TNSTC 5831,Sleeper,Tirunelveli,Perambalur,09:54 AM,03:02 PM,330,15
TNSTC 7597,AC Seater,Trichy,Villupuram,07:30 PM,10:40 PM,390,36
TNSTC 1651,Deluxe,Madurai,Chengalpattu,04:16 AM,09:29 AM,310,19
TNSTC 2271,AC Sleeper,Chennai,Krishnagiri,05:29 PM,08:08 PM,400,20
TNSTC 7579,Government,Kallakurichi,Tenkasi,11:56 PM,09:41 AM,150,11
TNSTC 5461,Express,Pudukkottai,Trichy,03:19 PM,11:47 PM,200,13
TNSTC 4698,AC Seater,Namakkal,Krishnagiri,07:03 AM,10:39 AM,540,3
TNSTC 6731,Sleeper,Nagapattinam,Chengalpattu,05:45 PM,03:33 AM,550,12
TNSTC 2956,Ultra Deluxe,Chengalpattu,Theni,08:28 PM,01:33 AM,480,13
TNSTC 6463,Deluxe,Theni,Tirupathur,09:21 AM,01:56 PM,550,26
TNSTC 4075,Deluxe,Trichy,Pudukkottai,05:15 AM,02:05 PM,560,22
TNSTC 2541,AC Seater,Chengalpattu,Nilgiris,01:22 PM,10:11 PM,150,7
TNSTC 5571,Sleeper,Virudhunagar,Nilgiris,12:39 AM,09:36 AM,500,24
TNSTC 3093,Government,Salem,Kanchipuram,06:04 PM,01:02 AM,320,39
TNSTC 5515,AC Seater,Tirupathur,Tiruvarur,09:48 AM,12:56 PM,520,33
TNSTC 8866,AC Seater,Ariyalur,Chengalpattu,08:11 AM,02:16 PM,220,31
TNSTC 1212,AC Seater,Krishnagiri,Ramanathapuram,08:40 AM,01:06 PM,250,21
TNSTC 9722,Express,Perambalur,Cuddalore,01:00 PM,05:37 PM,640,7
TNSTC 5873,Deluxe,Theni,Ambur,06:24 AM,03:59 PM,210,18
TNSTC 5385,Government,Thoothukudi,Dindigul,10:18 AM,03:33 PM,640,7
TNSTC 6410,Ultra Deluxe,Nilgiris,Karur,08:47 PM,05:32 AM,370,22
TNSTC 8750,Ultra Deluxe,Namakkal,Kallakurichi,03:12 AM,09:33 AM,420,10
TNSTC 4237,AC Sleeper,Theni,Trichy,10:51 AM,06:06 PM,360,28
TNSTC 7073,Sleeper,Erode,Nagapattinam,01:16 PM,09:46 PM,380,34
TNSTC 1607,AC Seater,Coimbatore,Namakkal,04:40 AM,02:25 PM,190,7
TNSTC 1007,Ultra Deluxe,Villupuram,Nilgiris,03:30 PM,07:11 PM,250,3
TNSTC 8176,Government,Thanjavur,Tiruvannamalai,03:52 PM,09:46 PM,350,36
TNSTC 3499,Express,Salem,Kanyakumari,03:37 AM,07:37 AM,300,15
TNSTC 7672,Sleeper,Erode,Tirupur,10:08 PM,03:20 AM,330,35
TNSTC 2661,Government,Ramanathapuram,Ranipet,07:31 PM,02:44 AM,600,32
TNSTC 4459,Sleeper,Dharmapuri,Trichy,10:20 AM,12:54 PM,470,38
TNSTC 7829,Deluxe,Theni,Tirupur,09:36 PM,03:25 AM,630,37
TNSTC 6364,Express,Tenkasi,Madurai,09:08 AM,06:04 PM,340,22
TNSTC 8170,Government,Thanjavur,Krishnagiri,09:10 AM,02:14 PM,390,35
TNSTC 8983,Sleeper,Dharmapuri,Tirunelveli,09:27 PM,06:00 AM,360,29
TNSTC 4626,Ultra Deluxe,Nilgiris,Ambur,12:50 PM,06:35 PM,190,39
TNSTC 5381,Sleeper,Sivaganga,Pudukkottai,02:33 AM,05:32 AM,380,35
TNSTC 9197,AC Sleeper,Vellore,Kanyakumari,09:09 PM,02:42 AM,250,38
TNSTC 7333,Deluxe,Kallakurichi,Chengalpattu,11:20 AM,09:13 PM,430,34
TNSTC 9473,Sleeper,Tiruvarur,Villupuram,04:49 PM,02:39 AM,210,25
TNSTC 7629,Express,Ariyalur,Cuddalore,03:03 AM,07:56 AM,220,18
TNSTC 9310,Deluxe,Vellore,Nilgiris,03:38 PM,11:54 PM,210,17
TNSTC 4421,Ultra Deluxe,Tirupathur,Trichy,03:11 PM,10:02 PM,150,7
TNSTC 5938,AC Seater,Dharmapuri,Chengalpattu,08:58 PM,12:58 AM,460,19
TNSTC 7975,Government,Perambalur,Salem,05:49 PM,02:59 AM,570,29
TNSTC 8559,AC Seater,Tirupathur,Chengalpattu,10:16 AM,05:10 PM,500,38
TNSTC 9439,Sleeper,Kanyakumari,Perambalur,11:14 PM,04:59 AM,370,1
TNSTC 7813,Ultra Deluxe,Ranipet,Kanchipuram,01:34 PM,06:15 PM,560,23
TNSTC 3290,Ultra Deluxe,Kallakurichi,Cuddalore,10:27 AM,02:00 PM,400,36
TNSTC 3017,AC Seater,Tirupur,Ambur,09:40 PM,01:58 AM,480,20
TNSTC 9129,Government,Theni,Tiruvannamalai,09:01 PM,02:19 AM,610,4
TNSTC 7761,AC Seater,Nilgiris,Coimbatore,04:15 AM,12:13 PM,220,40
TNSTC 7930,Ultra Deluxe,Cuddalore,Theni,09:54 PM,06:58 AM,400,2
TNSTC 5468,AC Seater,Tirupur,Madurai,07:10 AM,04:28 PM,510,27
TNSTC 3597,Government,Nagapattinam,Salem,11:53 PM,05:45 AM,280,27
TNSTC 6143,Express,Kanchipuram,Vellore,12:36 PM,04:01 PM,590,27
TNSTC 7856,Express,Madurai,Mayiladuthurai,07:09 AM,12:41 PM,160,29
TNSTC 5448,Ultra Deluxe,Dindigul,Erode,10:36 PM,07:51 AM,430,11
TNSTC 1902,AC Seater,Dharmapuri,Dindigul,07:45 AM,02:56 PM,610,21
TNSTC 5505,Government,Villupuram,Pudukkottai,02:03 AM,04:04 AM,570,37
TNSTC 4493,AC Seater,Tirupur,Ranipet,01:29 AM,06:38 AM,200,20
TNSTC 6199,Deluxe,Chennai,Kanyakumari,06:06 AM,12:44 PM,620,21
TNSTC 5142,Ultra Deluxe,Nilgiris,Ramanathapuram,05:47 PM,03:10 AM,520,18
TNSTC 8043,Government,Vellore,Ariyalur,01:38 PM,04:39 PM,190,11
TNSTC 5557,Sleeper,Nilgiris,Trichy,02:13 PM,09:34 PM,440,37
TNSTC 6114,Express,Salem,Tiruvannamalai,03:18 AM,09:09 AM,560,15
TNSTC 4694,Government,Madurai,Tirupathur,02:39 AM,08:37 AM,440,6
TNSTC 3721,Express,Salem,Namakkal,05:27 AM,10:25 AM,260,18
TNSTC 8719,AC Sleeper,Tirunelveli,Kanchipuram,11:31 PM,07:49 AM,470,5
TNSTC 3418,Sleeper,Villupuram,Thanjavur,10:11 AM,08:03 PM,480,8
TNSTC 2495,Sleeper,Chennai,Erode,07:53 AM,11:11 AM,260,15
TNSTC 3943,Deluxe,Madurai,Thoothukudi,04:49 PM,12:01 AM,580,2
TNSTC 7133,Government,Pudukkottai,Tirupur,07:41 AM,10:17 AM,340,28
TNSTC 7693,Deluxe,Perambalur,Nilgiris,07:59 AM,11:40 AM,210,13
TNSTC 1607,Government,Kanyakumari,Coimbatore,09:29 PM,05:48 AM,560,21
TNSTC 6391,Deluxe,Theni,Chennai,08:35 PM,11:26 PM,540,28
TNSTC 2789,Sleeper,Nilgiris,Namakkal,09:22 PM,04:38 AM,160,26
TNSTC 8777,AC Seater,Tirupur,Ramanathapuram,07:57 AM,03:50 PM,160,13
TNSTC 6009,Deluxe,Cuddalore,Dharmapuri,07:26 AM,10:28 AM,520,5
TNSTC 7575,Ultra Deluxe,Tenkasi,Erode,01:08 AM,05:04 AM,490,40
TNSTC 8577,AC Seater,Kallakurichi,Madurai,03:06 AM,07:41 AM,180,19
TNSTC 1723,AC Seater,Vellore,Nilgiris,01:46 AM,06:18 AM,390,25
TNSTC 2655,Deluxe,Nagapattinam,Theni,02:55 PM,06:12 PM,180,7
TNSTC 6181,Ultra Deluxe,Trichy,Tirupathur,06:17 AM,01:57 PM,260,33
TNSTC 3820,Government,Namakkal,Madurai,07:09 PM,10:09 PM,390,36
TNSTC 3710,Government,Ambur,Nilgiris,11:56 PM,06:36 AM,560,39
TNSTC 5299,Deluxe,Tiruvallur,Ramanathapuram,08:46 AM,03:13 PM,160,40
TNSTC 8295,Ultra Deluxe,Kanchipuram,Namakkal,08:24 PM,05:16 AM,470,30
TNSTC 2434,AC Sleeper,Kanchipuram,Mayiladuthurai,11:26 PM,04:38 AM,510,5
TNSTC 6377,Deluxe,Tenkasi,Tirunelveli,09:04 AM,04:14 PM,540,7
TNSTC 8783,Government,Sivaganga,Pudukkottai,07:45 PM,11:48 PM,230,11
TNSTC 5458,Deluxe,Tirupur,Salem,11:02 AM,06:33 PM,290,6
TNSTC 9954,Government,Tiruvallur,Kanyakumari,04:33 PM,09:31 PM,350,4
TNSTC 3542,Ultra Deluxe,Chengalpattu,Pudukkottai,04:19 AM,07:16 AM,540,22
TNSTC 5923,Government,Tiruvallur,Mayiladuthurai,04:24 PM,11:14 PM,630,32
TNSTC 5133,Express,Theni,Tiruvarur,04:52 PM,02:13 AM,420,18
TNSTC 7843,AC Seater,Erode,Ariyalur,04:46 PM,10:34 PM,430,22
TNSTC 8896,Deluxe,Tiruvarur,Virudhunagar,10:34 AM,03:38 PM,560,20
TNSTC 4942,Express,Tirupathur,Mayiladuthurai,03:26 PM,11:44 PM,270,10
TNSTC 2165,Government,Thanjavur,Perambalur,10:43 PM,04:09 AM,620,23
TNSTC 8519,Deluxe,Theni,Tiruvarur,06:26 PM,01:46 AM,520,17
TNSTC 3013,Express,Karur,Madurai,02:56 PM,07:59 PM,420,15
TNSTC 3886,Sleeper,Chengalpattu,Sivaganga,10:33 PM,04:40 AM,570,28
TNSTC 9498,Ultra Deluxe,Tiruvarur,Thanjavur,01:53 PM,04:16 PM,250,32
TNSTC 2731,AC Sleeper,Perambalur,Trichy,12:21 AM,07:10 AM,490,9
TNSTC 5198,Deluxe,Villupuram,Tenkasi,03:22 AM,12:46 PM,530,34
TNSTC 3265,AC Seater,Tenkasi,Perambalur,12:56 AM,06:22 AM,150,37
TNSTC 5088,Express,Vellore,Mayiladuthurai,07:53 PM,05:50 AM,450,23
TNSTC 5981,Deluxe,Nagapattinam,Madurai,02:38 AM,10:34 AM,380,35
TNSTC 6153,Government,Thanjavur,Kallakurichi,09:03 AM,06:05 PM,440,38
TNSTC 7167,Deluxe,Thoothukudi,Namakkal,10:26 AM,03:53 PM,600,6
TNSTC 9082,AC Sleeper,Perambalur,Cuddalore,04:19 PM,10:56 PM,640,36
TNSTC 7935,AC Sleeper,Karur,Trichy,11:20 AM,03:28 PM,320,15
TNSTC 4376,AC Sleeper,Thanjavur,Namakkal,10:43 PM,03:32 AM,340,21
TNSTC 1997,AC Seater,Erode,Chennai,10:14 AM,01:48 PM,540,19
TNSTC 6764,Express,Vellore,Pudukkottai,08:27 PM,06:12 AM,410,6
TNSTC 5547,AC Sleeper,Ramanathapuram,Nagapattinam,06:09 AM,02:07 PM,560,3
TNSTC 9919,Government,Namakkal,Madurai,08:37 AM,06:19 PM,600,38
TNSTC 6751,Sleeper,Namakkal,Thanjavur,08:37 PM,02:06 AM,500,6
TNSTC 5846,Express,Tirupathur,Chennai,02:04 AM,06:37 AM,390,24
TNSTC 7202,AC Sleeper,Theni,Tirupur,06:00 AM,10:58 AM,640,9
TNSTC 7134,Deluxe,Pudukkottai,Ramanathapuram,10:08 PM,04:27 AM,450,28
TNSTC 7094,Deluxe,Tenkasi,Mayiladuthurai,09:24 AM,07:01 PM,200,19
TNSTC 8694,Government,Pudukkottai,Nagapattinam,10:58 PM,02:52 AM,470,29
TNSTC 2803,Express,Dindigul,Ambur,01:37 PM,05:42 PM,490,8
TNSTC 1139,Express,Coimbatore,Sivaganga,08:58 PM,11:22 PM,230,10
TNSTC 3671,Government,Coimbatore,Tirupur,11:03 PM,07:32 AM,610,3
TNSTC 8367,AC Seater,Karur,Dharmapuri,04:29 AM,11:02 AM,280,23
TNSTC 7266,Deluxe,Ramanathapuram,Ambur,04:14 PM,06:14 PM,420,35
TNSTC 8455,Deluxe,Pudukkottai,Krishnagiri,09:03 AM,12:40 PM,300,18
TNSTC 9176,Deluxe,Thoothukudi,Tiruvallur,02:55 PM,12:10 AM,360,22
TNSTC 3121,Government,Ranipet,Salem,03:44 PM,06:31 PM,420,20
TNSTC 3196,Deluxe,Madurai,Tirupur,06:44 AM,03:30 PM,520,32
TNSTC 9301,Express,Salem,Karur,07:31 AM,10:57 AM,260,3
TNSTC 5376,AC Sleeper,Virudhunagar,Tenkasi,07:00 AM,01:19 PM,520,21
TNSTC 8193,AC Seater,Sivaganga,Erode,02:07 AM,07:18 AM,470,21
TNSTC 7924,AC Seater,Sivaganga,Tirunelveli,09:58 AM,03:13 PM,520,10
TNSTC 6198,AC Seater,Kanyakumari,Villupuram,03:37 AM,12:42 PM,530,17
TNSTC 2166,AC Sleeper,Mayiladuthurai,Ranipet,09:46 PM,03:36 AM,550,34
TNSTC 6046,Express,Erode,Kallakurichi,11:00 AM,03:47 PM,390,24
TNSTC 6661,AC Sleeper,Ramanathapuram,Tiruvarur,03:11 AM,06:17 AM,150,35
TNSTC 6692,Ultra Deluxe,Chennai,Kanyakumari,05:11 AM,12:31 PM,170,18
TNSTC 8051,AC Sleeper,Erode,Vellore,12:43 AM,05:51 AM,190,18
TNSTC 4003,Deluxe,Perambalur,Namakkal,02:41 AM,10:44 AM,600,14
TNSTC 3146,Government,Kanchipuram,Chennai,04:55 PM,08:50 PM,180,16
TNSTC 5685,Deluxe,Ariyalur,Tirunelveli,02:23 PM,05:52 PM,210,31
TNSTC 2461,AC Sleeper,Madurai,Salem,09:45 PM,06:11 AM,210,21
TNSTC 5415,AC Seater,Erode,Dindigul,07:46 PM,12:12 AM,490,15
TNSTC 3814,AC Sleeper,Cuddalore,Ramanathapuram,04:30 PM,10:24 PM,230,16
TNSTC 5423,Sleeper,Sivaganga,Namakkal,11:19 PM,06:00 AM,330,4
TNSTC 3537,Express,Tirupathur,Chengalpattu,09:50 AM,05:29 PM,550,24
TNSTC 3801,Government,Tiruvarur,Kallakurichi,05:38 AM,03:01 PM,430,29
TNSTC 2621,Deluxe,Madurai,Thoothukudi,09:53 PM,01:28 AM,420,37
TNSTC 2858,Sleeper,Perambalur,Kallakurichi,07:42 AM,10:33 AM,320,34
TNSTC 6502,Sleeper,Pudukkottai,Tiruvallur,10:43 PM,05:13 AM,570,21
TNSTC 7869,Express,Coimbatore,Perambalur,08:17 AM,02:27 PM,260,26
TNSTC 2377,Government,Tirupathur,Ambur,02:34 AM,07:11 AM,410,5
TNSTC 4964,Ultra Deluxe,Coimbatore,Kanchipuram,01:07 PM,03:10 PM,380,21
TNSTC 4332,Deluxe,Tirunelveli,Tiruvallur,07:54 PM,04:19 AM,370,22
TNSTC 9836,Sleeper,Madurai,Chennai,10:49 AM,05:55 PM,300,25
TNSTC 4743,AC Seater,Dharmapuri,Coimbatore,05:17 PM,01:18 AM,560,9
TNSTC 3126,Government,Nilgiris,Tiruvallur,03:08 AM,06:51 AM,570,31
TNSTC 5555,Ultra Deluxe,Tiruvannamalai,Thoothukudi,08:32 AM,03:03 PM,470,35
TNSTC 2245,Express,Ranipet,Kanchipuram,10:47 PM,01:42 AM,270,29
TNSTC 7456,Deluxe,Villupuram,Cuddalore,09:38 AM,03:49 PM,550,29
TNSTC 7281,Ultra Deluxe,Trichy,Theni,10:17 AM,02:10 PM,380,13
TNSTC 5925,Government,Karur,Madurai,02:38 AM,07:46 AM,560,3
TNSTC 3071,AC Sleeper,Erode,Dharmapuri,03:22 AM,07:30 AM,200,28
TNSTC 7430,Government,Pudukkottai,Nilgiris,04:47 AM,08:55 AM,600,16
TNSTC 2608,Deluxe,Nagapattinam,Ranipet,03:25 AM,09:59 AM,200,38
TNSTC 1894,Government,Kallakurichi,Ariyalur,03:29 AM,12:22 PM,370,8
TNSTC 3232,Sleeper,Namakkal,Ariyalur,04:28 PM,02:27 AM,390,39
TNSTC 9130,Government,Nagapattinam,Tiruvallur,10:22 PM,01:43 AM,590,6
TNSTC 8763,Government,Chengalpattu,Nagapattinam,07:15 PM,01:36 AM,580,27
TNSTC 1374,AC Sleeper,Tirupur,Villupuram,12:42 AM,04:56 AM,510,11
TNSTC 2351,Express,Perambalur,Ariyalur,10:50 PM,05:32 AM,260,28
TNSTC 2329,AC Sleeper,Kallakurichi,Dindigul,04:30 AM,12:00 PM,150,34
TNSTC 5999,Government,Namakkal,Tirupur,07:25 AM,03:37 PM,350,30
TNSTC 6180,Express,Sivaganga,Chennai,07:01 PM,09:12 PM,380,14
TNSTC 4345,AC Sleeper,Theni,Virudhunagar,05:08 PM,08:15 PM,350,2
TNSTC 3720,Ultra Deluxe,Tirunelveli,Coimbatore,09:38 PM,11:44 PM,620,24
TNSTC 5845,AC Sleeper,Erode,Virudhunagar,08:49 AM,11:39 AM,640,14
TNSTC 8689,Deluxe,Tiruvannamalai,Dindigul,04:36 PM,07:29 PM,390,12
TNSTC 6661,Government,Cuddalore,Tirunelveli,08:28 AM,02:09 PM,500,23
TNSTC 5323,AC Sleeper,Kanchipuram,Tiruvallur,05:38 AM,08:56 AM,540,26
TNSTC 7417,Sleeper,Namakkal,Cuddalore,05:44 PM,02:27 AM,450,25
TNSTC 1881,Government,Villupuram,Namakkal,05:58 AM,11:48 AM,480,7
TNSTC 4373,Deluxe,Trichy,Cuddalore,03:58 PM,06:34 PM,330,17
TNSTC 3920,Ultra Deluxe,Kanchipuram,Thoothukudi,07:13 AM,05:01 PM,150,15
TNSTC 6021,Deluxe,Perambalur,Chengalpattu,12:01 PM,02:26 PM,150,15
TNSTC 9781,Deluxe,Villupuram,Kanchipuram,04:38 AM,07:18 AM,260,33
TNSTC 2424,Ultra Deluxe,Tiruvannamalai,Vellore,03:24 PM,07:58 PM,590,2
TNSTC 3498,Sleeper,Ranipet,Krishnagiri,09:49 PM,05:58 AM,430,20
TNSTC 4755,Deluxe,Ranipet,Krishnagiri,09:26 PM,04:24 AM,530,15
TNSTC 5024,Express,Tiruvarur,Villupuram,08:50 AM,03:47 PM,320,33
TNSTC 9761,Deluxe,Sivaganga,Erode,12:02 PM,02:33 PM,260,29
TNSTC 2652,Ultra Deluxe,Villupuram,Ambur,06:24 AM,01:23 PM,370,34
